,Rank,Rank Opp.,Int. Age,Opp. Age,Sport_MMA,Sport_Tennis,Interviewee_Andy Ruiz,Interviewee_Anthony Djoshua,Interviewee_Bogdan Dinu,Interviewee_David Gofen,Interviewee_Grigor Dimitrov,Interviewee_Hughie Fury,Interviewee_Kubrat Pulev,Interviewee_Mario Cilic,Interviewee_Nikolas Basilashvili,Interviewee_Svetlozar Savov,Interviewee_Tommy Robredo,Opponent_Andy Ruiz,Opponent_Anthony Djoshua,Opponent_Dominic Thiem,Opponent_Grigor Dimitrov,Opponent_Kubrat Pulev,Opponent_Piotr Strus,Opponent_Roger Federer,Opponent_Stan Wawrinka,Psychics_3,Psychics_4,Psychics_5,Prev. Match_N,Prev. Match_W,Prev. Match_Y,Confidence_2,Confidence_3,Confidence_4,Confidence_5,year_2014,year_2015,year_2018,year_2019,dayofyear_119,dayofyear_149,dayofyear_151,dayofyear_246,dayofyear_278,dayofyear_319,week_4,week_12,week_17,week_22,week_36,week_40,week_46,dayofweek_1,dayofweek_2,dayofweek_3,dayofweek_4,dayofweek_5,is_int_prime_age_1,is_opp_prime_age_1,age_gap_0.2894736842105263,age_gap_0.3421052631578947,age_gap_0.5,age_gap_0.6052631578947368,age_gap_0.631578947368421,age_gap_0.6842105263157894,age_gap_0.763157894736842,age_gap_0.8684210526315789,age_gap_0.9210526315789473,Class
15,0.6273062730627306,0.04674046740467405,0.7692307692307692,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
16,0.7380073800738007,0.07626076260762607,0.7948717948717948,0.8636363636363636,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
17,0.9594095940959408,0.03228782287822878,0.7179487179487178,0.6363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
18,0.4059040590405904,0.014022140221402213,0.8461538461538459,0.7272727272727274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
19,0.059040590405904064,0.6642066420664207,1.0,0.3636363636363637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20,0.07626076260762607,0.7380073800738007,0.923076923076923,0.6363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
21,0.007380073800738006,0.0,0.6666666666666666,0.3636363636363637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22,0.029520295202952032,0.013284132841328414,0.7692307692307692,0.8181818181818182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
23,0.0,0.0,0.6666666666666666,0.9090909090909092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
24,0.029520295202952032,0.007380073800738006,0.6923076923076923,0.40909090909090906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,0.011070110701107009,0.00959409594095941,0.7179487179487178,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26,0.007380073800738006,0.1033210332103321,0.641025641025641,0.18181818181818174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
27,0.12915129151291513,0.003690036900369004,0.5128205128205128,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
