Sport,Interviewee,Opponent,Is_male,Rank,Rank Opp.,Int. Age,Opp. Age,Health,Psychics,Prev. Match,Confidence,day,dayofweek,dayofyear,hour,month,quarter,week,weekday,weekofyear,year,Class
Tennis,Fabio Fonini,Grigor Dimitrov,1,0.077490775,0.103321033,19,31,H,4,L,0.75,0.379310345,0.333333333,0.389570552,0,0.4,0.333333333,0.404255319,0.333333333,0.404255319,0.555555556,1
Tennis,Grigor Dimitrov,David Gofen,1,0.011070111,0.025830258,35,26,H,4,L,0.5,0.448275862,0.333333333,0.960122699,0,1,1,0.957446809,0.333333333,0.957446809,0.777777778,1
Tennis,Grigor Dimitrov,Gael Montfis,1,0.103321033,0.088560886,0.564102564,0.409090909,H,3,W,0.5,0.896551724,0.833333333,1,0,1,1,1,0.833333333,1,0.555555556,1
Tennis,Grigor Dimitrov,Jerzy Janowicz,1,0.011070111,0.553505535,0.615384615,0.318181818,H,3,N,0.5,0,0.833333333,0.733128834,0,0.8,0.666666667,0.723404255,0.833333333,0.723404255,0.777777778,1
Tennis,Grigor Dimitrov,Marcos Bagdatis,1,0.103321033,0.169741697,0.564102564,0.5,H,4,W,0.5,0.310344828,0.333333333,0.110429448,0,0.1,0,0.127659574,0.333333333,0.127659574,0.555555556,1
Tennis,Grigor Dimitrov,Nikolas Basilashvili,1,0.180811808,0.040590406,0.615384615,0.272727273,H,3,N,0.5,0,0.5,0.920245399,0,1,1,0.914893617,0.5,0.914893617,0.777777778,1
Tennis,Grigor Dimitrov,Roger Federer,1,0.033210332,0.018450185,0.615384615,0.727272727,H,3,L,0.25,0.172413793,0.833333333,0.840490798,0,0.9,1,0.829787234,0.833333333,0.829787234,0.777777778,0
Tennis,Grigor Dimitrov,Stan Wawrinka,1,0.191881919,0.103321033,0.666666667,0.681818182,A,3,L,0.5,1,0.666666667,0.444785276,0,0.4,0.333333333,0.446808511,0.666666667,0.446808511,1,0
Tennis,Grigor Dimitrov,Tommy Robredo,1,0.040590406,1,0.615384615,0.727272727,H,3,N,0.5,1,0.333333333,0.444785276,0,0.4,0.333333333,0.446808511,0.333333333,0.446808511,0.777777778,1
Tennis,Grigor Dimitrov,Viktor Troicky,1,0.136531365,0.033210332,0.58974359,0.545454545,H,4,N,0.75,0,0,0.825153374,0,0.9,1,0.829787234,0,0.829787234,0.777777778,1
