,young,ye,won,whatev,us,unit,two,twice,tough,strong,stand,speed,sofia,shape,second,same,respect,real,qualiti,put,pulev,prove,pressur,press,partner,over,out,otherwis,or,noth,need,motiv,mani,lot,look,kubrat,knock,keep,judg,hit,here,healthi,game,friend,fan,fact,everyth,due,drive,cours,coach,clay,children,chain,bulgarian,break,both,big,between,almost,achiev,whole,who,underestim,thi,state,special,round,rival,re,particip,offer,now,my,more,may,manag,man,loss,least,learn,ha,guard,get,forward,did,competit,club,case,cage,appreci,after,Class
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1205133160761135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1029492459531318,0.0,0.031201628581402567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04874735058765508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25510298453945285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09656489410458116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07527416222627674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0930727826500136,0.0,0.0,0.0,0.0,0.0,0.0,0.10107611541416037,0.0,0.0,0.0,0.0,0.04735629105500442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09511919490408832,0.0,0.09511919490408832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11761018510627914,0.0,0.0,0.0,0.0,0.0,0.15605878681059926,0.0,0.0,0.10905950747625473,0.0,0.0,0.05984114795266721,0.0,0.0,0.0,0.0,0.1785497770127901,0.0,0.0,0.0,0.0,0.0,0.05303291602806578,0.0536715056838948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10905950747625473,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05128875804647531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18179275244276288,0.03466270159149495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1013570371840228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05718449891538348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,0.0,0.1156918767085888,0.0,0.0,0.0,0.0,0.05045189742792487,0.0,0.0,0.0,0.0,0.08277469035386399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08277469035386399,0.0,0.0,0.0,0.05045189742792487,0.0,0.0,0.0,0.053917247953291066,0.04198786680285596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0284677483056552,0.06774544752765357,0.0,0.0,0.06348034088222666,0.0,0.0,0.08277469035386399,0.0,0.0,0.0,0.0,0.1486213194575902,0.0,0.0,0.0,0.0,0.05784593835429441,0.0,0.0,0.03174017044111333,0.0,0.07695792232727111,0.0,0.0,0.0,0.08277469035386399,0.09470407150429908,0.0,0.0,0.09017545695726256,0.01406451790540085,0.08540324491696559,0.0,0.0,0.0,0.0,0.0,0.0,0.06348034088222666,0.08277469035386399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,0.0,0.03831919797245095,0.0,0.06273533056968686,0.0,0.0,0.0,0.0,0.0,0.0,0.054832886059364365,0.0,0.0,0.03342112342936724,0.0,0.08975396680903612,0.0,0.10966577211872873,0.0,0.0,0.0,0.2461300622500612,0.0,0.0,0.0,0.0,0.0,0.0,0.03342112342936724,0.054832886059364365,0.0,0.049226012450012235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04487698340451806,0.0,0.0,0.0,0.054832886059364365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03342112342936724,0.06372456617319869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027950504115080675,0.018858044560933682,0.0,0.0,0.0,0.0,0.0,0.0,0.02102581286456155,0.0,0.03342112342936724,0.0,0.0,0.06273533056968686,0.0,0.0,0.0,0.0,0.03342112342936724,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15676286240248885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2080110842558582,0.2535691487792585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1867411504153484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17024290798772831,0.0,0.0,0.0,0.0,0.07976239161628619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15952478323257238,0.2080110842558582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14096387671745178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12654977786109464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10810593078450936,0.17183743047030406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0479032651075274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10810593078450936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,0.2483484304973405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16358634197316207,0.0,0.0,0.0,0.1323031770737456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1413905832478166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07465276306712802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
